"","Site","WY","Month","Air","PO4","NO3","pH","Cond","Tur","O2","H2Otemp","TotalColiform","EColi","ppt","cwd","tmx","tmn","PctUrb","PctImp","NDVI","SiteWY"
"1",1,2001,1,-2.4,0.143333333,0.03,7.033333333,19.8,0.183333333,12.76,1.4,5.699439725,4.235554731,154,0,7.12,-0.1,2,9,0.3,"1 2001"
"2",1,2001,2,0,0.086666667,0.026666667,7.266666667,21.2,0.133333333,14.08333333,1.4,6.248429647,4.204692619,236.8,0,8.4,0.61,2,9,0.3,"1 2001"
"3",1,2001,3,7,0.123333333,0.066666667,7,28.13333333,0.716666667,11.48,5.083333333,2.57261223,0,111.4,0,13.55,0.48,2,9,0.3,"1 2001"
"4",1,2001,4,5,1.016666667,0.256666667,6.1,38.66666667,0.85,11.77,6.2,4.617098757,3.987130478,130,0,14.32,0.45,2,9,0.3,"1 2001"
"5",1,2001,5,22,0.493333333,0.666666667,5.233333333,26.6,0.716666667,10.69,10.95,3.883623531,4.084294226,4.2,9.4,26.63,8.9,2,9,0.3,"1 2001"
"6",1,2001,6,19,0.613333333,0.036666667,7.2,41.8,0.15,9.56,11.73333333,6.646520377,1.131402111,6.7,163.5,26.82,9.62,2,9,0.3,"1 2001"
"7",1,2001,7,15.1,0.87,0.15,7.633333333,51.13333333,0.25,9.403333333,12.4,6.531897516,3.072693315,0,183.4,29.55,10.99,2,9,0.3,"1 2001"
"8",1,2001,8,34,0.326666667,0.243333333,6.7,30.93333333,2.133333333,8.416666667,18.06666667,5.513831891,2.151762203,0.2,164.2,31.26,11.24,2,9,0.3,"1 2001"
"9",1,2001,9,24,0.05,0.08,6.7,32.33333333,0.573333333,8.876666667,16.38333333,6.887960652,3.072693315,17.6,106.1,27.79,9.63,2,9,0.3,"1 2001"
"10",1,2001,11,0.3,0.5,0.15,7.796666667,31.6,0.126666667,11.96333333,4.4,3.384390263,1.840549633,61.9,0,9.92,-1.48,2,9,0.3,"1 2001"
"11",1,2001,12,4,0.653333333,0.18,7.6,34.9,1.306666667,12.31,4.4,2.772588722,0,94.1,0,9.79,0.17,2,9,0.3,"1 2001"
"12",1,2002,1,-0.2,0.276666667,0.243333333,6.633333333,22,0.356666667,12.11333333,3.15,3.843744165,0.693147181,164.5,0,7.6,-2.4,2,9,0.222,"1 2002"
