"","Site","Month","WY","Year","Date","Season","Acari","Aeshnidae","Ameletidae","Amphipoda","Apataniidae","Arctopsychinae","Baetidae","Bivalvia","Brachycentridae","Caenidae","Calamoceratidae","Calopterygidae","Capniidae","Ceratopogonidae","Chironomidae","Chloroperlidae","Coenagrionidae","Cordulegastridae","Corduliidae","Corixidae","Corydalidae","Cyrenidae","Decapoda","Dixidae","Dytiscidae","Elmidae","Empididae","Ephemerellidae","Eulichadidae","Gastropoda","Glossosomatidae","Gomphidae","Helicopsychidae","Heptageniidae","Hirudinea","Hydropsychidae","Hydroptilidae","Lepidostomatidae","Leptoceridae","Leptohyphidae","Leptophlebiidae","Leuctridae","Libellulidae","Limnephilidae","Naucoridae","Nemouridae","Odontoceridae","Oligochaeta","Ostracoda","Peltoperlidae","Perlidae","Perlodidae","Philopotamidae","Polycentropodidae","Psephenidae","Psychodidae","Psychomyiidae","Pteronarcyidae","Ptilodactylidae","Pyraloidae","Rhyacophilidae","Sericostomatidae","Sialidae","Simuliidae","Siphlonuridae","Stratiomyidae","Tabanidae","Thremmatidae","Tipulidae","Turbellaria","sample.size","total.ept","Percent.ept","total.taxa","eph.taxa","ple.taxa","tri.taxa","EPT.richness","eph.rel.ab","ple.rel.ab","tri.rel.ab","Percent.chir","Diversity","EPT.Diversity","P.rel.ab","CF.rel.ab","CG.rel.ab","SH.rel.ab","SC.rel.ab","rare.rich","rare.EPT.rich","sens.taxa.rich","sens.taxa.div","tol.taxa.rich","tol.taxa.div","Cat1","Cat3","Cat6","Cat12","DO.Average","Cond.Average","H2OTemp.Average","pH.Average","Turb.Average","NO3.Average","PO4.Average","Bacteria_TC","Bacteria_EColi","DO30","DO90","DO180","DO365","Cond30","Cond90","Cond180","Cond365","H2OTemp30","H2OTemp90","H2OTemp180","H2OTemp365","pH30","pH90","pH180","pH365","Turb30","Turb90","Turb180","Turb365","Nitrate30","Nitrate90","Nitrate180","Nitrate365","Phosphate30","Phosphate90","Phosphate180","Phosphate365","TotColiform30","TotColiform90","TotColiform180","TotColiform365","ppt30","ppt90","ppt180","ppt365","tmean30","tmean90","tmean180","tmean365","vpdmin30","vpdmin90","vpdmin180","vpdmin365","vpdmax30","vpdmax90","vpdmax180","vpdmax365","SOI.avg5","P_ET"
"1",1,10,2003,2002,"2002-10-10","Base",77,0,0,0,0,0,18,0,3,0,0,0,0,0,33,6,0,0,0,0,9,0,0,0,0,52,0,37,0,0,15,2,0,105,0,44,0,2,0,2,6,2,0,3,0,7,0,71,0,1,2,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,509,264,51.8664047151277,25,5,6,7,18,0.330058939096267,0.0392927308447937,0.149312377210216,6.48330058939096,2.45207687528112,1.9961199982157,0.194499017681729,0.106090373280943,0.430255402750491,0.0294695481335953,0.235756385068762,24,17,14,2.27239617116319,2,0.706634234117283,"Average","Average","Average","Average",13.7,25.733,12,6.533,0.35,NA,NA,NA,NA,11.975,10.55075,10.6985714285714,10.9286923076923,28.983,29.09975,32.7331428571429,31.8563076923077,12.5,14,12.6666666666667,9.75,7,7.28325,7.37142857142857,7.159,0.4,0.3125,0.317142857142857,0.417692307692308,NA,0.183,0.5915,0.42075,NA,0.05,0.525,0.683333333333333,NA,NA,NA,NA,0,0,0.711333333333333,4.19986301369863,19.4066666666667,21.41,18.8816666666667,13.2290410958904,7.76733333333333,8.21655555555555,6.31244444444444,4.07104109589041,32.468,34.9771111111111,29.1131666666667,19.3955890410959,-0.098,703.568109916556
"2",1,10,2004,2003,"2003-10-16","Base",15,0,0,0,0,0,58,1,18,0,0,0,0,0,36,3,0,0,0,0,2,0,0,0,0,17,0,18,0,3,6,0,0,128,0,65,0,2,0,0,7,1,0,4,0,21,0,30,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,35,0,0,0,0,0,6,492,346,70.3252032520325,24,4,4,6,14,0.428861788617886,0.0630081300813008,0.211382113821138,7.31707317073171,2.49784505135161,1.91287256131545,0.0853658536585366,0.241869918699187,0.33739837398374,0.0569105691056911,0.278455284552846,23,14,10,2.18831989245499,4,1.34895522445944,"Average","Average","Wet","Average",9.867,38.333,10,5.767,1.5,NA,NA,NA,NA,9.785,9.46433333333333,9.28116666666667,11.0444444444444,34.033,36.1886666666667,35.8398,35.8999090909091,10.5,11.6666666666667,11.8333333333333,8.5,6.0335,5.978,6.35,6.71391666666667,0.75,0.566666666666667,0.6125,0.506,NA,NA,NA,0.1,NA,NA,NA,0.05,NA,NA,NA,NA,0,0.434777777777778,1.318,4.60893150684932,19.99,21.9144444444444,19.4022222222222,13.4852054794521,7.90433333333333,7.18655555555556,5.79716666666666,3.59786301369863,33.1686666666667,34.4683333333333,29.327,19.2406301369863,-0.73,365.104427511689
"3",1,10,2005,2004,"2004-10-14","Base",5,0,4,0,0,0,17,0,1,0,1,0,2,0,20,11,0,0,0,0,0,0,0,0,0,40,0,7,0,0,47,1,0,106,0,24,0,53,0,0,35,3,0,0,0,13,0,47,0,0,3,0,8,0,0,0,0,0,0,0,2,12,2,5,0,0,0,0,0,0,469,349,74.4136460554371,25,5,5,8,18,0.360341151385927,0.0682302771855011,0.315565031982942,4.26439232409382,2.57875649824113,2.2181422192662,0.0511727078891258,0.0810234541577825,0.362473347547974,0.17910447761194,0.326226012793177,24,18,13,2.20921199463529,3,0.954626657807945,"Average","Dry","Dry","Average",9.653,34.233,13,5.933,0.95,0.1,0.05,NA,NA,9.1715,9.06533333333333,9.56816666666667,10.1743076923077,33.5,34.7223333333333,34.4056666666667,32.0487692307692,14,14.3333333333333,12.6666666666667,9.46153846153846,6.283,6.46633333333333,6.14433333333333,6.18715384615385,0.825,0.56,0.321666666666667,0.613846153846154,0.1,0.1,0.1,0.1,0.05,0.05,0.0505,0.05075,NA,NA,NA,NA,0.268333333333333,0.0894444444444445,0.405722222222222,3.59978082191781,17.6066666666667,21.0944444444445,19.275,13.5430136986301,6.32133333333333,8.30377777777778,6.43661111111111,4.1181095890411,27.3553333333333,35.3846666666667,30.3012222222222,20.5245205479452,-0.23,925.010251853802
"4",1,10,2006,2005,"2005-10-13","Base",2,0,15,0,0,0,28,0,2,0,5,0,4,0,47,8,0,1,0,0,4,0,0,0,0,42,1,34,0,1,12,1,0,53,0,33,2,103,0,1,39,3,0,1,0,0,0,15,0,0,10,2,0,0,0,0,0,0,0,0,2,19,2,1,0,0,0,0,0,1,495,377,76.1616161616162,33,6,5,10,21,0.343434343434343,0.0545454545454545,0.363636363636364,9.49494949494949,2.7002738969416,2.35733024566052,0.0646464646464646,0.0747474747474747,0.446464646464646,0.272727272727273,0.137373737373737,31,21,15,2.14228482152669,2,0.876871952853268,"Average","Average","Wet","Average",10.707,36.867,11,7.6,0.15,0.1,0.05,NA,NA,13.205,11.06425,11.6633333333333,12.5538333333333,37.317,36.4085,34.8223333333333,36.7206153846154,11,12.25,11.1666666666667,8.61538461538461,7.45,7.0415,6.74433333333333,6.41946153846154,0.075,0.1625,1.03333333333333,0.876923076923077,0.1,0.1,0.1,0.1,0.05,0.05,0.0511666666666667,0.0506363636363636,NA,NA,NA,NA,0.542666666666667,0.180888888888889,2.19761111111111,5.178,16.3033333333333,20.7688888888889,18.0305555555556,12.4934246575343,4.60333333333333,7.15388888888889,4.94116666666666,3.16131506849315,24.662,33.7758888888889,26.3645,17.842,-0.506,1513.10951093062
"5",1,10,2007,2006,"2006-10-12","Base",11,0,0,0,0,9,77,0,6,0,0,0,3,0,52,10,0,0,0,0,0,0,0,0,0,17,1,34,0,0,5,0,0,169,0,24,0,0,0,0,21,0,0,0,0,7,0,4,0,0,9,5,0,0,0,0,0,0,0,0,8,0,0,31,0,0,0,0,1,0,505,387,76.6336633663366,22,4,5,5,14,0.596039603960396,0.0673267326732673,0.102970297029703,10.2970297029703,2.31067938023328,1.86409913549294,0.0792079207920792,0.138613861386139,0.405940594059406,0.0198019801980198,0.344554455445545,21,14,11,2.27700894285427,3,0.986032132717316,"Average","Average","Wet","Wet",14.647,37.367,10,7.03,0,0.1,0.05,2419.6,5.2,14.647,12.427,11.3516,12.6910909090909,33.367,30.7336666666667,29.9946666666667,33.6056666666667,12,12.3333333333333,11.1666666666667,8.66666666666667,6.7565,7.02,6.44833333333333,6.33941666666667,0.075,0.05,0.25,0.286363636363636,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,2419.6,1725.86666666667,1560.98333333333,1055.3,0.354666666666667,0.118222222222222,1.10761111111111,7.10531506849315,16.42,20.9355555555556,19.4077777777778,13.152602739726,5.71933333333333,7.874,6.18822222222222,3.68452054794521,24.575,34.1592222222222,29.7,19.0580547945205,0.468,69.4846312645018
"6",1,10,2008,2007,"2007-10-11","Base",3,0,0,0,0,8,24,0,7,0,1,0,0,0,10,2,0,0,0,0,2,0,0,0,0,28,5,17,0,0,66,0,0,122,0,17,0,2,0,0,8,1,0,0,0,6,0,27,0,1,4,5,12,0,1,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,402,308,76.6169154228856,26,4,6,8,18,0.425373134328358,0.0472636815920398,0.293532338308458,2.48756218905473,2.47118957941504,2.00579996585795,0.0522388059701493,0.154228855721393,0.283582089552239,0.027363184079602,0.470149253731343,26,18,13,2.12963323120277,4,1.38337519334657,"Average","Average","Average","Dry",15.14,28.133,10,6.937,0.06,0.1,0.05,75.4,19.9,11.96,12.4223333333333,12.2471428571429,13.4520769230769,31.533,34.1886666666667,38.3568571428571,37.7024615384615,12.5,13,10.7142857142857,8.61538461538461,7.352,6.71233333333333,6.62714285714286,6.56361538461538,0.08,0.0866666666666667,0.115714285714286,0.231538461538462,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,1247.5,1638.2,984.628571428571,748.961538461538,2.95066666666667,0.999444444444445,1.33044444444444,3.21416438356164,13.5233333333333,19.6488888888889,18.4488888888889,13.227397260274,2.40666666666667,6.19888888888889,5.38861111111111,3.61945205479452,18.1173333333333,31.1654444444444,28.5102777777778,19.8847123287671,-0.658,244.300709179811
"7",1,10,2009,2008,"2008-10-09","Base",4,0,0,0,1,29,65,1,6,0,0,0,0,0,11,4,0,0,0,0,6,0,0,0,0,30,0,9,0,0,9,0,0,141,0,48,0,17,0,0,10,0,0,0,0,26,0,8,0,0,11,2,15,0,1,0,0,1,0,0,5,0,0,38,0,0,0,0,0,3,501,399,79.6407185628742,26,4,5,8,17,0.449101796407186,0.0878243512974052,0.259481037924152,2.19560878243513,2.53671480164529,2.12741406340694,0.0658682634730539,0.273453093812375,0.265469061876248,0.0878243512974052,0.303393213572854,24,17,13,2.47837662970264,3,1.08568548270072,"Average","Dry","Dry","Dry",NA,26.567,10,6.6,0.15,0.1,0.05,2419.6,4.1,13.453,11.603,12.262,13.5804,30.7335,33.7585,37.1905714285714,35.7361666666667,12,13.25,11.1428571428571,8.83333333333333,6.3335,6.61925,6.58342857142857,6.55425,0.15,0.1125,0.114285714285714,0.195833333333333,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,2419.6,1836.55,1110.44285714286,688.05,1.38033333333333,0.460111111111111,0.460277777777778,3.14495890410959,19.1266666666667,21.9844444444445,19.5316666666667,13.1972602739726,7.50033333333333,9.19233333333334,7.33066666666667,4.40580821917808,30.734,37.093,31.9836666666667,20.9713698630137,0.882,486.793892020288
"8",1,10,2010,2009,"2009-10-08","Base",3,0,2,0,2,26,74,0,6,0,0,0,0,0,13,1,0,0,0,0,6,0,0,0,0,44,1,18,0,0,18,0,0,143,0,34,1,9,0,0,7,0,0,0,0,11,0,0,0,0,7,1,6,0,0,0,0,0,0,0,6,0,0,56,0,0,0,1,0,0,496,373,75.2016129032258,25,5,4,10,19,0.491935483870968,0.0403225806451613,0.219758064516129,2.62096774193548,2.40701666364445,2.04686898107552,0.0483870967741935,0.258064516129032,0.318548387096774,0.0403225806451613,0.332661290322581,25,18,13,2.50394483555848,2,0.66346708166483,"Average","Dry","Average","Average",13.883,33.4,11,7.087,0,0.1,0.05,648.8,3.1,12.105,11.6025,13.0765714285714,13.1276666666667,32.3665,36.9665,38.4998571428571,38.9281538461538,13,13.25,10.8571428571429,8.38461538461539,7.082,7.0945,7.085,6.73576923076923,0.06,0.1175,0.231428571428571,0.286153846153846,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,1534.2,1976.9,1176.05714285714,870.3,0.0936666666666667,0.0312222222222222,1.10188888888889,3.79868493150685,19.43,21.9466666666667,19.2516666666667,13.5164383561644,7.937,8.74711111111111,6.738,4.66254794520548,32.2273333333333,36.1,29.5846111111111,20.2843835616438,1.34,573.483723810051
"9",1,10,2011,2010,"2010-10-14","Base",3,0,9,0,0,11,8,2,24,0,0,0,0,0,14,9,0,0,0,0,16,0,0,0,0,29,0,20,0,0,13,2,0,132,0,23,0,70,0,0,30,3,0,8,0,7,0,18,0,0,5,5,24,0,0,2,0,0,0,0,2,3,0,7,0,0,0,0,0,4,503,406,80.7157057654075,29,5,5,9,19,0.395626242544732,0.0576540755467197,0.353876739562624,2.78330019880716,2.72877741710598,2.3147914516302,0.0815109343936382,0.180914512922465,0.25844930417495,0.180914512922465,0.288270377733598,29,19,17,2.47705488941429,5,1.50839593622993,"Average","Average","Wet","Average",15.26,38.267,13,6.7,0.25,0.1,0.05,686.7,10.9,12.5465,13.0166666666667,12.3378333333333,13.5749090909091,38.3,34.7666666666667,37.5833333333333,41.825,12.5,12.6666666666667,11.4,7.63636363636364,6.7515,6.84533333333333,6.81866666666667,6.96733333333333,0.375,0.35,0.511666666666667,0.566666666666667,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,1553.15,1553.15,879.52,456.963636363636,0.525666666666667,0.227888888888889,1.62155555555556,4.0598904109589,18.7733333333333,20.4955555555556,17.7083333333333,12.2161643835616,5.93766666666667,6.66111111111111,4.99738888888889,3.11156164383562,26.8126666666667,31.0258888888889,25.2861111111111,17.0995342465753,-0.812,1290.18322905917
"10",1,10,2013,2012,"2012-10-11","Base",4,0,4,0,0,14,34,0,6,0,27,0,0,0,16,34,0,0,0,0,4,0,0,0,0,60,1,30,0,0,0,0,0,87,0,20,0,16,0,0,17,3,0,1,0,6,0,12,0,0,20,21,11,0,0,0,0,0,0,0,13,3,1,16,0,0,0,0,2,3,486,367,75.5144032921811,29,5,5,9,19,0.353909465020576,0.172839506172839,0.228395061728395,3.29218106995885,2.88184404942286,2.56490870244805,0.164609053497942,0.137860082304527,0.3559670781893,0.11522633744856,0.179012345679012,29,18,17,2.63964853059575,3,1.33291859892595,"Average","Average","Average","Average",10.057,32.233,12,NA,0.1,0.1,0.05,57.3,4.1,10.43,9.865,10.0691428571429,11.0085454545455,32.283,33.80825,35.2047142857143,33.2878181818182,13,13.75,11.7142857142857,9,7.123,7.15766666666667,6.88666666666667,6.6137,0.125,0.275,0.414285714285714,0.324545454545455,0.1,0.1,0.1,0.100272727272727,0.05,0.05175,0.0514285714285714,0.0514545454545455,61.5,52.75,34.3428571428571,58.2727272727273,0,0.0255555555555556,0.796444444444445,3.52446575342466,20.84,22.2733333333333,19.6994444444444,13.6446575342466,8.812,9.29911111111111,7.42705555555556,4.72345205479452,33.269,36.8114444444444,30.6076666666667,20.2444657534247,1.362,446.357110612902
