Site_ID,Lat,Long
CCNB,38.0558,-120.477
CFSR,38.40397,-119.79316
ARN,38.40579,-119.79781
CRP,38.5669,-120.4378
CAT,38.5994,-120.3104
SIAR,38.6949,-120.2014
LYN,38.81371,-120.25589
TRAV,38.8732,-120.8181
BR55,39.1136,-121.2733
DC116,39.229,-121.2423
DC110,39.2302,-121.2442
EFAR,39.2505,-120.6488
MON,39.2596,-120.6154
DC20,39.2679,-121.002
FUL,39.2863,-120.6752
DC10,39.2957,-120.8865
ROCK,39.301,-120.9287
BR10,39.3089,-120.6674
SHADY,39.3327,-121.0908
OC10,39.4457,-121.0465
CORC,39.46556,-120.9669
NFY,39.5112,-120.9785
COLD,39.5271,-120.2894
HAY,39.5669,-120.6009
CSLA,39.6919,-120.9383
CACR,39.69833,-121.20379
BCC,39.8697,-121.7075
MVC,39.92997,-121.04464
BUT,40.1081,-121.4882
WBUT,40.1191,-121.4735
MAR,40.34849,-121.59264
NFFR,40.3531,-121.4127
WAR,40.3643,-121.3067
GSW,40.4696,-121.399
TBCG,40.63047,-121.46606
AMC,40.8612,-121.83743
MCL,41.2554,-121.8803
