"","Site","WY","P_ET_1km","P_ET_5km"
"1","CCNB",2006,609.051224802376,642.354722356753
"2","CFSR",2006,1159.74937693173,1192.05926728929
"3","ARN",2006,1139.28206670074,1189.46280585844
"4","CRP",2006,954.653676532492,963.06153138247
"5","CAT",2006,1065.31921468138,1075.53645726789
"6","SIAR",2006,880.63030113495,899.305509858561
"7","LYN",2006,948.869887730187,940.355278697762
"8","TRAV",2006,1022.02968823198,936.317528713713
"9","BR55",2006,451.959197318866,447.211097221306
"10","DC116",2006,646.917277819535,688.398996649505
"11","DC110",2006,620.788140328021,660.227225060713
"12","EFAR",2006,1746.06861453529,1777.31426271935
"13","MON",2006,1889.11876692136,1918.24391247123
"14","DC20",2006,1450.49335535104,1427.7138043914
"15","FUL",2006,1857.50741000296,1853.48110109105
"16","DC10",2006,1626.49531836864,1696.4748417471
"17","ROCK",2006,1544.8335826667,1598.27285701973
"18","BR10",2006,1952.90838709859,1957.95078343282
"19","SHADY",2006,978.70023484192,957.686132703922
"20","OC10",2006,1331.38926045418,1353.52838786268
"21","CORC",2006,1690.47146015357,1658.72816824129
"22","NFY",2006,1566.16979685428,1558.96940022081
"23","COLD",2006,678.125143802737,650.457465339016
"24","HAY",2006,1810.45011266496,1856.40992879067
"25","CSLA",2006,2034.70061896632,2038.98264280476
"26","CACR",2006,2049.19389064825,2050.0171717199
"27","BCC",2006,1035.09819110075,1049.17235237675
"28","MVC",2006,826.730111891261,747.796013746249
"29","BUT",2006,1433.2530795092,1436.36626576391
"30","WBUT",2006,1565.42268584725,1521.16692708593
"31","MAR",2006,1471.31018960672,1464.01425422022
"32","NFFR",2006,1225.9071494559,1211.88331526745
"33","WAR",2006,974.633793879878,966.36052537324
"34","GSW",2006,2118.6313807018,2154.29535315216
"35","TBCG",2006,365.46446231303,411.581390003535
"36","AMC",2006,1918.78021180829,1928.17292852643
"37","MCL",2006,1241.84769641986,1248.75352348518
"38","CCNB",2007,80.0496235031397,116.368675562744
"39","CFSR",2007,265.919088485864,301.011309490537
"40","ARN",2007,244.097637094465,298.966335181426
"41","CRP",2007,115.125567577212,116.376717503157
"42","CAT",2007,222.0144497783,236.360277715089
"43","SIAR",2007,171.149175562714,191.973842839708
"44","LYN",2007,253.559890332784,243.235470740213
"45","TRAV",2007,186.796386674426,103.826883000651
"46","BR55",2007,51.2275891351695,56.3757665833047
"47","DC116",2007,45.2528004347515,107.64295047849
"48","DC110",2007,33.9461326538855,94.9184167944865
"49","EFAR",2007,427.593701648767,479.544371508786
"50","MON",2007,515.338501591707,569.083731273971
"51","DC20",2007,361.067788014218,337.703613287625
"52","FUL",2007,535.544327461137,537.606730498593
"53","DC10",2007,240.868486108531,299.692556741126
"54","ROCK",2007,270.751350389899,318.549350854573
"55","BR10",2007,589.388724525796,585.766807153734
"56","SHADY",2007,150.808691304685,124.437845704603
"57","OC10",2007,211.7812071737,238.213799512669
"58","CORC",2007,368.760467382289,337.446717798075
"59","NFY",2007,299.715195545175,273.720522505067
"60","COLD",2007,45.9554478685723,28.6758793349421
"61","HAY",2007,456.93119778287,493.627628805797
"62","CSLA",2007,502.046843478469,521.326571099674
"63","CACR",2007,451.549693536112,471.804399920859
"64","BCC",2007,136.502771993191,158.315439652959
"65","MVC",2007,95.4872447228333,-7.91973926949106
"66","BUT",2007,214.202773944247,212.109029718179
"67","WBUT",2007,313.838336893979,240.374428678288
"68","MAR",2007,253.51387727171,201.4479156522
"69","NFFR",2007,246.572835540079,231.597426136163
"70","WAR",2007,151.145911918956,134.175866516993
"71","GSW",2007,541.230497058259,567.727165009214
"72","TBCG",2007,-31.5444052285708,-25.1698842618883
"73","AMC",2007,690.872255165191,704.062766504306
"74","MCL",2007,219.647271274583,223.496667264049
"75","CCNB",2008,167.821179498147,203.220754501825
"76","CFSR",2008,434.065831363604,475.788621779911
"77","ARN",2008,407.259992394194,462.372439284254
"78","CRP",2008,182.830528542988,206.786974132394
"79","CAT",2008,283.362436440971,285.22412824888
"80","SIAR",2008,268.052097112656,293.642773858384
"81","LYN",2008,318.431722370767,294.691867934462
"82","TRAV",2008,230.440676773706,138.713952852211
"83","BR55",2008,118.064796291005,117.810777854777
"84","DC116",2008,151.855904586298,201.720786792268
"85","DC110",2008,140.612853977092,192.263593586965
"86","EFAR",2008,531.449814007811,570.680029730622
"87","MON",2008,641.953004742591,671.853162938816
"88","DC20",2008,398.452388047956,393.459009331832
"89","FUL",2008,629.498318109617,611.572468492177
"90","DC10",2008,370.65761111339,453.27636309108
"91","ROCK",2008,342.560531534804,423.455890984805
"92","BR10",2008,697.142801136341,668.826940619059
"93","SHADY",2008,230.252154190549,210.487902017114
"94","OC10",2008,256.362325451103,295.566632882023
"95","CORC",2008,429.32856384149,391.677374552035
"96","NFY",2008,313.442017295307,351.821899484204
"97","COLD",2008,191.600133343434,173.459674508037
"98","HAY",2008,494.688647524497,515.658541088269
"99","CSLA",2008,583.040523622395,586.431884361399
"100","CACR",2008,523.729480462437,540.120154890855
"101","BCC",2008,153.923401548963,170.798085142346
"102","MVC",2008,145.444533685198,57.225297302544
"103","BUT",2008,407.894813610011,422.168055650873
"104","WBUT",2008,479.369480907246,448.797143194974
"105","MAR",2008,337.328056440253,295.272492612386
"106","NFFR",2008,315.517728066614,307.801954183034
"107","WAR",2008,245.668632521458,220.463150650711
"108","GSW",2008,682.585145255634,709.858313201864
"109","TBCG",2008,-17.0413677847363,-18.2330295098894
"110","AMC",2008,684.403706008723,728.692681892778
"111","MCL",2008,427.967635575802,459.779318993799
"112","CCNB",2009,214.160283454613,244.449764536143
"113","CFSR",2009,765.792702520792,803.549641094195
"114","ARN",2009,730.960587504267,793.834345717228
"115","CRP",2009,400.094746556395,426.8915441503
"116","CAT",2009,516.986822020958,531.832258976805
"117","SIAR",2009,477.774333571788,507.401769990922
"118","LYN",2009,550.02765364794,523.030290672882
"119","TRAV",2009,479.50135120231,400.74559321941
"120","BR55",2009,156.863804415221,150.679486820604
"121","DC116",2009,176.981788318286,227.047688246332
"122","DC110",2009,163.717429237196,212.972984882666
"123","EFAR",2009,798.035642346507,900.571821596078
"124","MON",2009,911.691655943641,986.168028240809
"125","DC20",2009,626.054164563185,621.564993995173
"126","FUL",2009,932.901510864614,947.238929857513
"127","DC10",2009,607.231370112799,708.053790035519
"128","ROCK",2009,608.504419699816,692.728071873448
"129","BR10",2009,991.437943779525,986.300881918667
"130","SHADY",2009,326.946812331549,301.619248263456
"131","OC10",2009,465.161559055687,471.183690846408
"132","CORC",2009,685.222788431402,654.195094150748
"133","NFY",2009,563.747590093338,581.344498499705
"134","COLD",2009,275.998104549906,259.266827581069
"135","HAY",2009,862.060277433212,887.374866746411
"136","CSLA",2009,960.914634235851,958.039910979494
"137","CACR",2009,942.157205376341,1002.77468881651
"138","BCC",2009,376.07622373235,396.671891731415
"139","MVC",2009,416.496679752487,328.469625021863
"140","BUT",2009,718.388666961258,733.191402464065
"141","WBUT",2009,798.432909649094,774.100013403094
"142","MAR",2009,700.240235935866,647.367979202243
"143","NFFR",2009,556.420321407151,539.97547799152
"144","WAR",2009,415.666928911874,388.991010606619
"145","GSW",2009,1028.43791854553,1056.81767235848
"146","TBCG",2009,91.7736685344715,98.7458946424238
"147","AMC",2009,733.587015807081,749.930485234819
"148","MCL",2009,495.500347901233,506.648902068139
"149","CCNB",2010,370.276637397978,389.560470173814
"150","CFSR",2010,733.037388923942,772.623624515792
"151","ARN",2010,705.754099297423,768.824516298454
"152","CRP",2010,488.583683804034,491.311153497251
"153","CAT",2010,572.294111419769,577.560958402246
"154","SIAR",2010,527.069869215306,570.172389357013
"155","LYN",2010,568.414099092138,565.094882411877
"156","TRAV",2010,501.859589766975,435.237114018106
"157","BR55",2010,221.254202655467,213.334366406888
"158","DC116",2010,297.465900788043,346.827148918819
"159","DC110",2010,288.023365087724,330.751552169539
"160","EFAR",2010,867.556758045336,898.221238644773
"161","MON",2010,949.334295020833,1015.83717635854
"162","DC20",2010,688.649288093272,678.583925257936
"163","FUL",2010,940.806864827232,937.629249850162
"164","DC10",2010,703.401402207542,800.192365014958
"165","ROCK",2010,667.862044310803,758.607887209687
"166","BR10",2010,1013.26815740429,988.263138390016
"167","SHADY",2010,440.399476584815,433.238633358223
"168","OC10",2010,557.210715284322,592.073768226985
"169","CORC",2010,724.174059573765,733.437004376263
"170","NFY",2010,643.989030432338,682.582757987993
"171","COLD",2010,267.883107351667,254.962633957369
"172","HAY",2010,858.807616254965,889.046029453369
"173","CSLA",2010,1121.77926814178,1092.22219652768
"174","CACR",2010,1117.79656066275,1174.02091418064
"175","BCC",2010,472.802879624921,500.623210421378
"176","MVC",2010,300.850918126154,233.36926107593
"177","BUT",2010,844.186708075467,856.925054228678
"178","WBUT",2010,909.404308974498,869.947870376419
"179","MAR",2010,776.340105429895,734.966384988234
"180","NFFR",2010,629.670060701865,622.935542261666
"181","WAR",2010,443.036499361762,440.203659069109
"182","GSW",2010,1124.75620825885,1152.89488965272
"183","TBCG",2010,241.099993821467,227.919445599321
"184","AMC",2010,993.630677437628,1036.28997315424
"185","MCL",2010,900.548451619578,940.039861074848
"186","CCNB",2011,690.341754790573,714.795660613268
"187","CFSR",2011,1431.54316147982,1446.98503282543
"188","ARN",2011,1392.59851465236,1434.26819642428
"189","CRP",2011,1060.88950986592,1073.29840293255
"190","CAT",2011,1223.4896020658,1232.41303720714
