"","Site","Year","DevOpenSpace.1km","DevLowIntensity.1km","DeciduousForest.1km","EvergreenForest.1km","MixedForest.1km","Scrub.1km","GrasslandHerb.1km","WoodyWetlands.1km","EmergHerbWetlands.1km","DevMedIntensity.1km","BarrenLand.1km","OpenWater.1km","CultivCrops.1km","DevHighIntensity.1km","PastureHay.1km","TotalPixels.1km","DevOpenSpace.1km.pct","DevLowIntensity.1km.pct","DeciduousForest.1km.pct","EvergreenForest.1km.pct","MixedForest.1km.pct","Scrub.1km.pct","GrasslandHerb.1km.pct","WoodyWetlands.1km.pct","EmergHerbWetlands.1km.pct","DevMedIntensity.1km.pct","BarrenLand.1km.pct","OpenWater.1km.pct","CultivCrops.1km.pct","DevHighIntensity.1km.pct","PastureHay.1km.pct","OpenWater.5km","DevOpenSpace.5km","DevLowIntensity.5km","DevMedIntensity.5km","DevHighIntensity.5km","BarrenLand.5km","DeciduousForest.5km","EvergreenForest.5km","MixedForest.5km","Scrub.5km","GrasslandHerb.5km","PastureHay.5km","WoodyWetlands.5km","EmergHerbWetlands.5km","CultivCrops.5km","PerennialIceSnow.5km","TotalPixels.5km","OpenWater.5km.pct","DevOpenSpace.5km.pct","DevLowIntensity.5km.pct","DevMedIntensity.5km.pct","DevHighIntensity.5km.pct","BarrenLand.5km.pct","DeciduousForest.5km.pct","EvergreenForest.5km.pct","MixedForest.5km.pct","Scrub.5km.pct","GrasslandHerb.5km.pct","PastureHay.5km.pct","WoodyWetlands.5km.pct","EmergHerbWetlands.5km.pct","CultivCrops.5km.pct","PerennialIceSnow.5km.pct"
"1","CCNB",2004,50,45,33,469,16,2844,32,0,0,0,0,0,0,0,0,3489,0.0143307537976498,0.0128976784178848,0.00945829750644884,0.134422470621955,0.00458584121524792,0.815133276010318,0.00917168243049584,0,0,0,0,0,0,0,0,5203,2669,1702,213,34,455,1948,20968,330,41933,11657,99,37,0,0,0,87248,0.0596346048046947,0.0305909591050798,0.0195076104896387,0.00244131670640015,0.000389693746561526,0.00521501925545571,0.0223271593618192,0.240326425820649,0.00378232165780304,0.480618466898955,0.133607647166697,0.00113469649734091,0.00042407848890519,0,0,0
"2","CFSR",2004,155,25,0,3282,0,26,0,0,0,0,0,0,0,0,0,3488,0.0444380733944954,0.00716743119266055,0,0.940940366972477,0,0.00745412844036697,0,0,0,0,0,0,0,0,0,0,377,105,0,0,1112,70,66582,0,18160,462,0,378,8,0,0,87254,0,0.00432071882091365,0.00120338322598391,0,0,0.012744401402801,0.000802255483989273,0.763082494785339,0,0.208127994132074,0.0052948861943292,0,0.00433217961354207,9.16863410273454e-05,0,0
"3","ARN",2004,146,22,0,3313,0,14,0,0,0,0,0,0,0,0,0,3495,0.0417739628040057,0.00629470672389127,0,0.947925608011445,0,0.00400572246065808,0,0,0,0,0,0,0,0,0,0,381,106,0,0,1202,56,65686,0,18972,495,0,342,0,0,0,87240,0,0.00436726272352132,0.00121503897294819,0,0,0.0137780834479597,0.000641907381934892,0.752934433745988,0,0.217469050894085,0.00567400275103164,0,0.00392022008253095,0,0,0
"4","CRP",2004,183,37,0,3167,0,81,24,0,0,0,0,0,0,0,0,3492,0.0524054982817869,0.0105956471935853,0,0.906930126002291,0,0.0231958762886598,0.00687285223367698,0,0,0,0,0,0,0,0,0,3086,355,2,0,0,1,79171,0,3085,1387,0,148,1,0,0,87236,0,0.0353753037736714,0.00406942088128754,2.29263148241552e-05,0,0,1.14631574120776e-05,0.907549635471594,0,0.0353638406162593,0.0158993993305516,0,0.00169654729698748,1.14631574120776e-05,0,0
"5","CAT",2004,201,16,0,2985,0,290,0,0,0,0,0,0,0,0,0,3492,0.0575601374570447,0.00458190148911798,0,0.854810996563574,0,0.0830469644902635,0,0,0,0,0,0,0,0,0,0,2976,366,0,0,0,0,75050,0,8261,594,0,3,0,0,0,87250,0,0.03410888252149,0.00419484240687679,0,0,0,0,0.860171919770774,0,0.0946819484240688,0.0068080229226361,0,3.43839541547278e-05,0,0,0
"6","SIAR",2004,142,36,0,3181,0,121,7,0,0,0,0,0,0,0,0,3487,0.0407226842558073,0.0103240607972469,0,0.912245483223401,0,0.0347003154574132,0.00200745626613135,0,0,0,0,0,0,0,0,0,2298,322,1,0,35,0,77044,0,6281,1188,0,79,9,0,0,87257,0,0.0263359959659397,0.0036902483468375,1.14603985926631e-05,0,0.000401113950743207,0,0.882954949173132,0,0.0719827635605166,0.0136149535280837,0,0.000905371488820381,0.000103143587333967,0,0
"7","LYN",2004,115,26,0,2974,0,311,1,45,21,0,0,0,0,0,0,3493,0.0329229888348125,0.00744345834526195,0,0.851417119954194,0,0.0890352132837103,0.000286286859433152,0.0128829086744918,0.00601202404809619,0,0,0,0,0,0,386,1452,623,7,0,0,31,68622,0,14727,1086,0,188,127,0,0,87249,0.0044241194741487,0.0166420245504246,0.00714048298547834,8.0230145904251e-05,0,0,0.000355304931861683,0.786507581748788,0,0.168792765533129,0.0124471340645738,0,0.00215475248999989,0.00145560407569141,0,0
"8","TRAV",2004,113,93,31,1816,0,1271,75,0,0,11,82,0,0,0,0,3492,0.0323596792668958,0.0266323024054983,0.00887743413516609,0.520045819014891,0,0.36397479954181,0.0214776632302405,0,0,0.00315005727376861,0.0234822451317297,0,0,0,0,130,5954,1609,211,23,82,1044,65792,13,10182,1937,67,178,9,0,0,87231,0.00149029588105146,0.0682555513521569,0.0184452774816292,0.00241886485309122,0.000263667732801412,0.000940032786509383,0.0119682223062902,0.754227281585675,0.000149029588105146,0.116724558929738,0.0222054086276668,0.000768075569464984,0.00204055897559354,0.00010317433022664,0,0
"9","BR55",2004,1,0,1278,35,5,1297,782,75,0,0,3,3,8,0,0,3487,0.000286779466590192,0,0.366504158302266,0.0100372813306567,0.00143389733295096,0.371952968167479,0.22426154287353,0.0215084599942644,0,0,0.000860338399770576,0.000860338399770576,0.00229423573272154,0,0,129,1112,198,7,0,35,33264,3860,12,21350,26839,0,368,47,22,0,87243,0.00147862865788659,0.0127460082757356,0.00226952305629105,8.02356636062492e-05,0,0.000401178318031246,0.381279873456896,0.0442442373600174,0.000137546851896427,0.24471877399906,0.307634996504017,0,0.0042181034581571,0.000538725169927673,0.000252169228476783,0
"10","DC116",2004,95,13,156,1564,0,1351,309,0,0,0,0,0,0,0,0,3488,0.0272362385321101,0.00372706422018349,0.0447247706422018,0.448394495412844,0,0.387327981651376,0.0885894495412844,0,0,0,0,0,0,0,0,3225,7638,5662,257,15,52,9337,27220,2,24063,9563,179,23,0,0,0,87236,0.0369686826539502,0.0875555963134486,0.0649043972671833,0.00294603145490394,0.000171947361181164,0.000596084185428034,0.107031500756568,0.312027144756752,2.29263148241552e-05,0.275837956806823,0.109622174331698,0.00205190517676189,0.000263652620477784,0,0,0
